N;TEMPO;TIPO;DISPOSITIVO;EXECUTANDO;FILA;PROCESSO
1;0;INI;CPU ;true;0;P1
1;1;RUN;CPU ;true;0;P1
1;2;RUN;CPU ;true;0;P1
1;3;RUN;CPU ;true;0;P1
1;4;RUN;CPU ;true;0;P1
1;5;RUN;CPU ;true;0;P1
1;6;RUN;CPU ;true;0;P1
1;7;RUN;CPU ;true;0;P1
1;8;RUN;CPU ;true;0;P1
1;9;RUN;CPU ;true;0;P1
1;10;RUN;CPU ;true;0;P1
1;11;RUN;CPU ;true;0;P1
1;12;RUN;CPU ;true;0;P1
1;13;RUN;CPU ;true;0;P1
1;14;RUN;CPU ;true;0;P1
1;15;RUN;CPU ;true;0;P1
1;15;FIM;CPU ;true;0;P1
1;15;INI;D1  ;true;0;P1
1;16;RUN;D1  ;true;0;P1
1;17;RUN;D1  ;true;0;P1
1;18;RUN;D1  ;true;0;P1
1;19;RUN;D1  ;true;0;P1
1;20;RUN;D1  ;true;0;P1
1;21;RUN;D1  ;true;0;P1
1;22;RUN;D1  ;true;0;P1
1;23;RUN;D1  ;true;0;P1
1;24;RUN;D1  ;true;0;P1
1;25;RUN;D1  ;true;0;P1
1;26;RUN;D1  ;true;0;P1
1;27;RUN;D1  ;true;0;P1
1;28;RUN;D1  ;true;0;P1
1;29;RUN;D1  ;true;0;P1
1;30;RUN;D1  ;true;0;P1
1;30;FIM;D1  ;true;0;P1
2;0;INI;CPU ;true;1;P2
2;1;RUN;CPU ;true;1;P2
2;2;RUN;CPU ;true;1;P2
2;3;RUN;CPU ;true;1;P2
2;4;RUN;CPU ;true;1;P2
2;5;RUN;CPU ;true;1;P2
2;6;RUN;CPU ;true;1;P2
2;7;RUN;CPU ;true;1;P2
2;8;RUN;CPU ;true;1;P2
2;9;RUN;CPU ;true;1;P2
2;10;RUN;CPU ;true;1;P2
2;11;RUN;CPU ;true;1;P2
2;12;RUN;CPU ;true;1;P2
2;13;RUN;CPU ;true;1;P2
2;14;RUN;CPU ;true;1;P2
2;15;RUN;CPU ;true;1;P2
2;15;FIM;CPU ;true;1;P2
2;15;INI;CPU ;true;0;P1
2;15;INI;D1  ;true;0;P2
2;16;RUN;CPU ;true;0;P1
2;16;RUN;D1  ;true;0;P2
2;17;RUN;CPU ;true;0;P1
2;17;RUN;D1  ;true;0;P2
2;18;RUN;CPU ;true;0;P1
2;18;RUN;D1  ;true;0;P2
2;19;RUN;CPU ;true;0;P1
2;19;RUN;D1  ;true;0;P2
2;20;RUN;CPU ;true;0;P1
2;20;RUN;D1  ;true;0;P2
2;21;RUN;CPU ;true;0;P1
2;21;RUN;D1  ;true;0;P2
2;22;RUN;CPU ;true;0;P1
2;22;RUN;D1  ;true;0;P2
2;23;RUN;CPU ;true;0;P1
2;23;RUN;D1  ;true;0;P2
2;24;RUN;CPU ;true;0;P1
2;24;RUN;D1  ;true;0;P2
2;25;RUN;CPU ;true;0;P1
2;25;RUN;D1  ;true;0;P2
2;26;RUN;CPU ;true;0;P1
2;26;RUN;D1  ;true;0;P2
2;27;RUN;CPU ;true;0;P1
2;27;RUN;D1  ;true;0;P2
2;28;RUN;CPU ;true;0;P1
2;28;RUN;D1  ;true;0;P2
2;29;RUN;CPU ;true;0;P1
2;29;RUN;D1  ;true;0;P2
2;30;RUN;CPU ;true;0;P1
2;30;FIM;CPU ;true;0;P1
2;30;RUN;D1  ;true;1;P2
2;30;FIM;D1  ;true;1;P2
2;30;INI;D1  ;true;0;P1
2;31;RUN;D1  ;true;0;P1
2;32;RUN;D1  ;true;0;P1
2;33;RUN;D1  ;true;0;P1
2;34;RUN;D1  ;true;0;P1
2;35;RUN;D1  ;true;0;P1
2;36;RUN;D1  ;true;0;P1
2;37;RUN;D1  ;true;0;P1
2;38;RUN;D1  ;true;0;P1
2;39;RUN;D1  ;true;0;P1
2;40;RUN;D1  ;true;0;P1
2;41;RUN;D1  ;true;0;P1
2;42;RUN;D1  ;true;0;P1
2;43;RUN;D1  ;true;0;P1
2;44;RUN;D1  ;true;0;P1
2;45;RUN;D1  ;true;0;P1
2;45;FIM;D1  ;true;0;P1
3;0;INI;CPU ;true;2;P3
3;1;RUN;CPU ;true;2;P3
3;2;RUN;CPU ;true;2;P3
3;3;RUN;CPU ;true;2;P3
3;4;RUN;CPU ;true;2;P3
3;5;RUN;CPU ;true;2;P3
3;6;RUN;CPU ;true;2;P3
3;7;RUN;CPU ;true;2;P3
3;8;RUN;CPU ;true;2;P3
3;9;RUN;CPU ;true;2;P3
3;10;RUN;CPU ;true;2;P3
3;11;RUN;CPU ;true;2;P3
3;12;RUN;CPU ;true;2;P3
3;13;RUN;CPU ;true;2;P3
3;14;RUN;CPU ;true;2;P3
3;15;RUN;CPU ;true;2;P3
3;15;FIM;CPU ;true;2;P3
3;15;INI;CPU ;true;1;P2
3;15;INI;D1  ;true;0;P3
3;16;RUN;CPU ;true;1;P2
3;16;RUN;D1  ;true;0;P3
3;17;RUN;CPU ;true;1;P2
3;17;RUN;D1  ;true;0;P3
3;18;RUN;CPU ;true;1;P2
3;18;RUN;D1  ;true;0;P3
3;19;RUN;CPU ;true;1;P2
3;19;RUN;D1  ;true;0;P3
3;20;RUN;CPU ;true;1;P2
3;20;RUN;D1  ;true;0;P3
3;21;RUN;CPU ;true;1;P2
3;21;RUN;D1  ;true;0;P3
3;22;RUN;CPU ;true;1;P2
3;22;RUN;D1  ;true;0;P3
3;23;RUN;CPU ;true;1;P2
3;23;RUN;D1  ;true;0;P3
3;24;RUN;CPU ;true;1;P2
3;24;RUN;D1  ;true;0;P3
3;25;RUN;CPU ;true;1;P2
3;25;RUN;D1  ;true;0;P3
3;26;RUN;CPU ;true;1;P2
3;26;RUN;D1  ;true;0;P3
3;27;RUN;CPU ;true;1;P2
3;27;RUN;D1  ;true;0;P3
3;28;RUN;CPU ;true;1;P2
3;28;RUN;D1  ;true;0;P3
3;29;RUN;CPU ;true;1;P2
3;29;RUN;D1  ;true;0;P3
3;30;RUN;CPU ;true;1;P2
3;30;FIM;CPU ;true;1;P2
3;30;INI;CPU ;true;0;P1
3;30;RUN;D1  ;true;1;P3
3;30;FIM;D1  ;true;1;P3
3;30;INI;D1  ;true;0;P2
3;31;RUN;CPU ;true;0;P1
3;31;RUN;D1  ;true;0;P2
3;32;RUN;CPU ;true;0;P1
3;32;RUN;D1  ;true;0;P2
3;33;RUN;CPU ;true;0;P1
3;33;RUN;D1  ;true;0;P2
3;34;RUN;CPU ;true;0;P1
3;34;RUN;D1  ;true;0;P2
3;35;RUN;CPU ;true;0;P1
3;35;RUN;D1  ;true;0;P2
3;36;RUN;CPU ;true;0;P1
3;36;RUN;D1  ;true;0;P2
3;37;RUN;CPU ;true;0;P1
3;37;RUN;D1  ;true;0;P2
3;38;RUN;CPU ;true;0;P1
3;38;RUN;D1  ;true;0;P2
3;39;RUN;CPU ;true;0;P1
3;39;RUN;D1  ;true;0;P2
3;40;RUN;CPU ;true;0;P1
3;40;RUN;D1  ;true;0;P2
3;41;RUN;CPU ;true;0;P1
3;41;RUN;D1  ;true;0;P2
3;42;RUN;CPU ;true;0;P1
3;42;RUN;D1  ;true;0;P2
3;43;RUN;CPU ;true;0;P1
3;43;RUN;D1  ;true;0;P2
3;44;RUN;CPU ;true;0;P1
3;44;RUN;D1  ;true;0;P2
3;45;RUN;CPU ;true;0;P1
3;45;FIM;CPU ;true;0;P1
3;45;RUN;D1  ;true;1;P2
3;45;FIM;D1  ;true;1;P2
3;45;INI;D1  ;true;0;P1
3;46;RUN;D1  ;true;0;P1
3;47;RUN;D1  ;true;0;P1
3;48;RUN;D1  ;true;0;P1
3;49;RUN;D1  ;true;0;P1
3;50;RUN;D1  ;true;0;P1
3;51;RUN;D1  ;true;0;P1
3;52;RUN;D1  ;true;0;P1
3;53;RUN;D1  ;true;0;P1
3;54;RUN;D1  ;true;0;P1
3;55;RUN;D1  ;true;0;P1
3;56;RUN;D1  ;true;0;P1
3;57;RUN;D1  ;true;0;P1
3;58;RUN;D1  ;true;0;P1
3;59;RUN;D1  ;true;0;P1
3;60;RUN;D1  ;true;0;P1
3;60;FIM;D1  ;true;0;P1
4;0;INI;CPU ;true;3;P4
4;1;RUN;CPU ;true;3;P4
4;2;RUN;CPU ;true;3;P4
4;3;RUN;CPU ;true;3;P4
4;4;RUN;CPU ;true;3;P4
4;5;RUN;CPU ;true;3;P4
4;6;RUN;CPU ;true;3;P4
4;7;RUN;CPU ;true;3;P4
4;8;RUN;CPU ;true;3;P4
4;9;RUN;CPU ;true;3;P4
4;10;RUN;CPU ;true;3;P4
4;11;RUN;CPU ;true;3;P4
4;12;RUN;CPU ;true;3;P4
4;13;RUN;CPU ;true;3;P4
4;14;RUN;CPU ;true;3;P4
4;15;RUN;CPU ;true;3;P4
4;15;FIM;CPU ;true;3;P4
4;15;INI;CPU ;true;2;P3
4;16;RUN;CPU ;true;2;P3
4;17;RUN;CPU ;true;2;P3
4;18;RUN;CPU ;true;2;P3
4;19;RUN;CPU ;true;2;P3
4;20;RUN;CPU ;true;2;P3
4;21;RUN;CPU ;true;2;P3
4;22;RUN;CPU ;true;2;P3
4;23;RUN;CPU ;true;2;P3
4;24;RUN;CPU ;true;2;P3
4;25;RUN;CPU ;true;2;P3
4;26;RUN;CPU ;true;2;P3
4;27;RUN;CPU ;true;2;P3
4;28;RUN;CPU ;true;2;P3
4;29;RUN;CPU ;true;2;P3
4;30;RUN;CPU ;true;2;P3
4;30;FIM;CPU ;true;2;P3
4;30;INI;CPU ;true;1;P2
4;31;RUN;CPU ;true;1;P2
4;32;RUN;CPU ;true;1;P2
4;33;RUN;CPU ;true;1;P2
4;34;RUN;CPU ;true;1;P2
4;35;RUN;CPU ;true;1;P2
4;36;RUN;CPU ;true;1;P2
4;37;RUN;CPU ;true;1;P2
4;38;RUN;CPU ;true;1;P2
4;39;RUN;CPU ;true;1;P2
4;40;RUN;CPU ;true;1;P2
4;41;RUN;CPU ;true;1;P2
4;42;RUN;CPU ;true;1;P2
4;43;RUN;CPU ;true;1;P2
4;44;RUN;CPU ;true;1;P2
4;45;RUN;CPU ;true;1;P2
4;45;FIM;CPU ;true;1;P2
4;45;INI;CPU ;true;0;P1
4;45;INI;D1  ;true;0;P2
4;46;RUN;CPU ;true;0;P1
4;46;RUN;D1  ;true;0;P2
4;47;RUN;CPU ;true;0;P1
4;47;RUN;D1  ;true;0;P2
4;48;RUN;CPU ;true;0;P1
4;48;RUN;D1  ;true;0;P2
4;49;RUN;CPU ;true;0;P1
4;49;RUN;D1  ;true;0;P2
4;50;RUN;CPU ;true;0;P1
4;50;RUN;D1  ;true;0;P2
4;51;RUN;CPU ;true;0;P1
4;51;RUN;D1  ;true;0;P2
4;52;RUN;CPU ;true;0;P1
4;52;RUN;D1  ;true;0;P2
4;53;RUN;CPU ;true;0;P1
4;53;RUN;D1  ;true;0;P2
4;54;RUN;CPU ;true;0;P1
4;54;RUN;D1  ;true;0;P2
4;55;RUN;CPU ;true;0;P1
4;55;RUN;D1  ;true;0;P2
4;56;RUN;CPU ;true;0;P1
4;56;RUN;D1  ;true;0;P2
4;57;RUN;CPU ;true;0;P1
4;57;RUN;D1  ;true;0;P2
4;58;RUN;CPU ;true;0;P1
4;58;RUN;D1  ;true;0;P2
4;59;RUN;CPU ;true;0;P1
4;59;RUN;D1  ;true;0;P2
4;60;RUN;CPU ;true;0;P1
4;60;FIM;CPU ;true;0;P1
4;60;RUN;D1  ;true;1;P2
4;60;FIM;D1  ;true;1;P2
4;60;INI;D1  ;true;0;P1
4;61;RUN;D1  ;true;0;P1
4;62;RUN;D1  ;true;0;P1
4;63;RUN;D1  ;true;0;P1
4;64;RUN;D1  ;true;0;P1
4;65;RUN;D1  ;true;0;P1
4;66;RUN;D1  ;true;0;P1
4;67;RUN;D1  ;true;0;P1
4;68;RUN;D1  ;true;0;P1
4;69;RUN;D1  ;true;0;P1
4;70;RUN;D1  ;true;0;P1
4;71;RUN;D1  ;true;0;P1
4;72;RUN;D1  ;true;0;P1
4;73;RUN;D1  ;true;0;P1
4;74;RUN;D1  ;true;0;P1
4;75;RUN;D1  ;true;0;P1
4;75;FIM;D1  ;true;0;P1
5;0;INI;CPU ;true;4;P5
5;1;RUN;CPU ;true;4;P5
5;2;RUN;CPU ;true;4;P5
5;3;RUN;CPU ;true;4;P5
5;4;RUN;CPU ;true;4;P5
5;5;RUN;CPU ;true;4;P5
5;6;RUN;CPU ;true;4;P5
5;7;RUN;CPU ;true;4;P5
5;8;RUN;CPU ;true;4;P5
5;9;RUN;CPU ;true;4;P5
5;10;RUN;CPU ;true;4;P5
5;11;RUN;CPU ;true;4;P5
5;12;RUN;CPU ;true;4;P5
5;13;RUN;CPU ;true;4;P5
5;14;RUN;CPU ;true;4;P5
5;15;RUN;CPU ;true;4;P5
5;15;FIM;CPU ;true;4;P5
5;15;INI;CPU ;true;3;P4
5;15;INI;D1  ;true;0;P5
5;16;RUN;CPU ;true;3;P4
5;16;RUN;D1  ;true;0;P5
5;17;RUN;CPU ;true;3;P4
5;17;RUN;D1  ;true;0;P5
5;18;RUN;CPU ;true;3;P4
5;18;RUN;D1  ;true;0;P5
5;19;RUN;CPU ;true;3;P4
5;19;RUN;D1  ;true;0;P5
5;20;RUN;CPU ;true;3;P4
5;20;RUN;D1  ;true;0;P5
5;21;RUN;CPU ;true;3;P4
5;21;RUN;D1  ;true;0;P5
5;22;RUN;CPU ;true;3;P4
5;22;RUN;D1  ;true;0;P5
5;23;RUN;CPU ;true;3;P4
5;23;RUN;D1  ;true;0;P5
5;24;RUN;CPU ;true;3;P4
5;24;RUN;D1  ;true;0;P5
5;25;RUN;CPU ;true;3;P4
5;25;RUN;D1  ;true;0;P5
5;26;RUN;CPU ;true;3;P4
5;26;RUN;D1  ;true;0;P5
5;27;RUN;CPU ;true;3;P4
5;27;RUN;D1  ;true;0;P5
5;28;RUN;CPU ;true;3;P4
5;28;RUN;D1  ;true;0;P5
5;29;RUN;CPU ;true;3;P4
5;29;RUN;D1  ;true;0;P5
5;30;RUN;CPU ;true;3;P4
5;30;FIM;CPU ;true;3;P4
5;30;INI;CPU ;true;2;P3
5;30;RUN;D1  ;true;1;P5
5;30;FIM;D1  ;true;1;P5
5;30;INI;D1  ;true;0;P4
5;31;RUN;CPU ;true;2;P3
5;31;RUN;D1  ;true;0;P4
5;32;RUN;CPU ;true;2;P3
5;32;RUN;D1  ;true;0;P4
5;33;RUN;CPU ;true;2;P3
5;33;RUN;D1  ;true;0;P4
5;34;RUN;CPU ;true;2;P3
5;34;RUN;D1  ;true;0;P4
5;35;RUN;CPU ;true;2;P3
5;35;RUN;D1  ;true;0;P4
5;36;RUN;CPU ;true;2;P3
5;36;RUN;D1  ;true;0;P4
5;37;RUN;CPU ;true;2;P3
5;37;RUN;D1  ;true;0;P4
5;38;RUN;CPU ;true;2;P3
5;38;RUN;D1  ;true;0;P4
5;39;RUN;CPU ;true;2;P3
5;39;RUN;D1  ;true;0;P4
5;40;RUN;CPU ;true;2;P3
5;40;RUN;D1  ;true;0;P4
5;41;RUN;CPU ;true;2;P3
5;41;RUN;D1  ;true;0;P4
5;42;RUN;CPU ;true;2;P3
5;42;RUN;D1  ;true;0;P4
5;43;RUN;CPU ;true;2;P3
5;43;RUN;D1  ;true;0;P4
5;44;RUN;CPU ;true;2;P3
5;44;RUN;D1  ;true;0;P4
5;45;RUN;CPU ;true;2;P3
5;45;FIM;CPU ;true;2;P3
5;45;INI;CPU ;true;1;P2
5;45;RUN;D1  ;true;1;P4
5;45;FIM;D1  ;true;1;P4
5;45;INI;D1  ;true;0;P3
5;46;RUN;CPU ;true;1;P2
5;46;RUN;D1  ;true;0;P3
5;47;RUN;CPU ;true;1;P2
5;47;RUN;D1  ;true;0;P3
5;48;RUN;CPU ;true;1;P2
5;48;RUN;D1  ;true;0;P3
5;49;RUN;CPU ;true;1;P2
5;49;RUN;D1  ;true;0;P3
5;50;RUN;CPU ;true;1;P2
5;50;RUN;D1  ;true;0;P3
5;51;RUN;CPU ;true;1;P2
5;51;RUN;D1  ;true;0;P3
5;52;RUN;CPU ;true;1;P2
5;52;RUN;D1  ;true;0;P3
5;53;RUN;CPU ;true;1;P2
5;53;RUN;D1  ;true;0;P3
5;54;RUN;CPU ;true;1;P2
5;54;RUN;D1  ;true;0;P3
5;55;RUN;CPU ;true;1;P2
5;55;RUN;D1  ;true;0;P3
5;56;RUN;CPU ;true;1;P2
5;56;RUN;D1  ;true;0;P3
5;57;RUN;CPU ;true;1;P2
5;57;RUN;D1  ;true;0;P3
5;58;RUN;CPU ;true;1;P2
5;58;RUN;D1  ;true;0;P3
5;59;RUN;CPU ;true;1;P2
5;59;RUN;D1  ;true;0;P3
5;60;RUN;CPU ;true;1;P2
5;60;FIM;CPU ;true;1;P2
5;60;INI;CPU ;true;0;P1
5;60;RUN;D1  ;true;1;P3
5;60;FIM;D1  ;true;1;P3
5;60;INI;D1  ;true;0;P2
5;61;RUN;CPU ;true;0;P1
5;61;RUN;D1  ;true;0;P2
5;62;RUN;CPU ;true;0;P1
5;62;RUN;D1  ;true;0;P2
5;63;RUN;CPU ;true;0;P1
5;63;RUN;D1  ;true;0;P2
5;64;RUN;CPU ;true;0;P1
5;64;RUN;D1  ;true;0;P2
